id,username,text,sentimen,label
23,Shall 1245,lekas membaik negeriku,netral,0
24,Ryan,sudah ada imbauan pemerintah kepolisian jangan ada keluar rumah kumpul kumpul berkumpul tidak jelas masyarakat keras kepala manusia kaya gitu seret rumah sakit supaya mengurangi pasien positif corona,positif,1
25,Gunawan Wibisono,bicara masukan tenaga kerja asing cina biar ada pendapatan buat negara,negatif,-1
26,pakde LHIEMBONK LHIEMBONK,dekat banyak bersedekah corona segan sama,netral,0
27,Wahyu Utama,berhenti orang luar indonesia,positif,1
28,Ony pramudya,tutup pak presiden penerbangan luar negeri,positif,1
29,ABENA,jangan takut sama corona hanya tipu pemerintah,negatif,-1
30,BS,saran pemerintah bekerja sama ustad mengimbau masyarakat mencegah penularan corona masyarakat lebih patuh mengimbau ustad ulama lengkap dalilnya,positif,1
31,asinar,semoga segera bebas virus corona biar kembali seperti dulu,netral,0
32,Ã¨Âªâ¦Ã¤Â»â¢Ã©ÂâÃ©âºÂ²Ã¥Â¿â Ã©â¢Â¸Ã©âºÂªÃ§ÂÂª,saudara saudari seluruh indonesia bersatu menghentikan covid virus menular melalui hidung mulut kulit jaga jarak meter pakai masker keluar rumah cuci tangan muka pulang rumah hindarilah jabat jangan pakailah cara bersalaman terapkanlah seluruh indonesia,positif,1
33,rafaqira,gimana pemerintah pilih kasih masa tes hanya kota desa butuh pak,negatif,-1
34,Delvi Picarima,tinggal jakarta kecewa melihat kelakuan orang disini remaja sampai sudah lansia super susah imbau waspada corona masih banyak beranggapan membuat lelucon situasi pandemi global cuma isu dibesarkan tidak tau sudah berapa banyak pembawa disini belum terdeteksi,positif,1
35,Abdullah Indra,gratis biaya internet pemerintah bulan gitu jamin auto isolasi diri rumah biar perhatikan drama korea buat jaga jarak,netral,0
36,Jonh Thomas 17513277,tenaga kerja asing cina masih bebas masuk indonesia contoh kendari impor virus corona,negatif,-1
37,Mochamad Ridwan,sedia makanan diam rumah soalnya kerja harian kaya pedagang pasti tidak diam rumah harus mencari nafkah keluarga makan nyata cerita pedagang tukang parkir tukang sampah,positif,1
38,Kang Dadang Sutisna,sehat selalu pak paman siap lawan corona siap patuhi amanat pemerintah,positif,1
39,guE boCilL,harusnya binatang buas dikebun binatang dibebas liarkan biar orang diam rumah,positif,1
40,Mas Bei,tidak tega sama pemerintah salahkan dollar mau ribu bisa bisa menimbulkan krisis semoga pemerintah bisa melalui cobaan semua rakyat indonesia bersatu mendukung upayakan pemerintah demi kebaikan rakyat indonesia semua,positif,1
41,adammi,lockdown mungkin udah usaha terbaik pemerintah,positif,1
42,renaa23,lockdown jalan terbaik meski harus banyak resiko lalui asalkan rakyat indonesia kompak mematuhi pasti bisa,positif,1
43,Pandito Putro,rapid tes gratis tes covid rumah sakit biayanya ribu,netral,0
44,Maya Maryanti,kebayang tidak pemerintah pusing siap semua patuhi aturan pemerintah demi kebaikan indonesia,positif,1
45,Maya Maryanti,masalah bersama ikuti aturan pemerintah,positif,1
46,IxWin Gt,semoga sebelum bulan puasa covid sudah hilang,netral,0
47,Hendra Dharmawi,pak tolong masker sumatera barat ditambah pak semoga tuhan melindungi semua,positif,1
48,Kang Victz,ketika negara sudah mengurangi korban corona indonesia justru bertambah korban meninggal fakta pemerintah kerjanya lambat,negatif,-1
49,Mein Liebe,buat pemerintah tolong diperhatikan keamanan para petugas medis instansi medis berjuang stok alat pelindung diri seperti masker tolong segera dipenuhi bisa instansi terkait penanganan corona mendapat subsidi biaya operasional terkait listrik air gas,positif,1
50,riky septian,wakil presiden kemana tidak ada kerja,negatif,-1
51,Moh Syahid,indonesia tidak setegas seperti saudi arabia,negatif,-1
52,KANG CIMOT,mau nanya kena corona ketika isolasi bakal bayar,netral,0
53,ilyas kholil,bingung pak mau kasih makan anak istri rumah lockdown,negatif,-1
54,Syah Fishing,bentar indonesia makin padat penduduknya,netral,0
55,Richie Chandra,kebanyakan bohong pemerintah janji katanya bantu rakyat miskin buktinya nol,negatif,-1
56,Queflis JJ,para kader partai kemana giliran kampanye bagi kaos sama spanduk sekarang ada virus kemana bagi masker sama antiseptik mau pilih sama rakyat,netral,0
57,j j,cepat pak jangan lambat menangani jangan sampai meluas virus sayangi rakyatnya rakyat kecil,positif,1
58,Oski Blarblar,terlihat belum siap udah peringati sama jauh beberapa bulan sebelum covid masuk indonesia lucunya indonesiaku,negatif,-1
59,Zulkifli Adi,bicara pengikut cina,negatif,-1
60,K.O.K,masih spekulasi dugaan menurut kapur barus suara berfrekuensi tinggi mampu mencegah covid,netral,0
61,Putri Yusuf,semoga virus dunia cepat berlalu musnah jangan pernah kembali,netral,0
62,Bony Nurzaman,virus cina,negatif,-1
63,Ajie Setiaji,hasil rapid tes seharusnya diumumkan supaya publik tahu berapa positif berapa negatif mencerminkan proporsi penyebaran antara penduduk penyebaran berkurang positif lebih banyak artinya kebal sudah banyak,negatif,-1
64,Iing Syamsul Bachri,pak jokowi terima kasih atas fasilitas pelayanan pemerintah,positif,1
65,Dandi Saputra,sebentar ramadhan hilangkanlah virus corona muka bumi semua umat muslim bisa kembali beribadah leluasa biar anak bisa kembali menuntut ilmu biar anak bisa bermain ceria saudaraku seiman minta bersama semua cepat membaik,netral,0
66,Arin Khoir,pak sebaiknya ceritakan gaya hidup pola hidup orang sembuh meninggal kontak kasus tidak terpapar kontak terpapar biar jadi bahan masyarakat bagaimana cara mengatasi virus,positif,1
67,Reza Andre,warga negara asing dilarang masuk indonesia bukan malah dibebasin,negatif,-1
68,fitri ani,usul pak pecegahan virus corona seharusnya tindak lanjuti semua bandara setiap pendatang luar negeri indonesia tidak tau mau liburan berkunjung sebagainya orang harus cek suhu panasnya terdapat suhu panas tinggi mohon dampingi cek kesehatan rumah sakit supaya jelas suhu tinggi akibatkan kena virus corona tidak jelas kena virus corona harap isolasi supaya virus corona tidak menyebar orang sekitar,positif,1
69,Ivanos Ide,semoga pak jokowi sehat selalu tegar kondisi dihadapinya,netral,0
70,Ayri 23,semangat indonesia lawan corona pasti bisa semangat,netral,0
71,Rimuru Tempest,awal tidak meremehkan awal bersiap diri semua tidak harus terjadi harus ada berteriak harus tunggu manusia sakit mati baru beli alat tesnya,negatif,-1
72,Lusi Tulungagung,mohon bapak presiden kesehatan bapak semoga selalu melindungi bapak semoga bapak sehat dimudahkan menangani musibah,netral,0
73,Kristin Channel,bapak harus sehat pak,netral,0
74,Widodo Pare,setuju pak presiden mantap semoga sehat pak presiden jokowi,netral,0
75,marty Aryadi,andai setiap rt rw diberikan alat lengkap deteksi virus corona buat warganya diwajibkan warganya memeriksa kesehatan disetiap rt rw masing mungkin bisa gampang terdeteksi warga tidak kena terpapar virus corona wajib kasih cairan pembersih tangan vitamin banyak warga tidak mampu beli pembersih tangan dikarenakan kelangkaan sudah diborong orang rakusËxad semoga dijauhkan virus corona semoga sebelum puasa corona hilang hanya kenangan,positif,1
76,auliaas,selamat warga jakarta sekitarnya rapid tes pelosok kabar bayar tidak,netral,0
77,Sarah Mardiana,pemerintah kerjanya tidak memikirkan keselamatan rakyatnya,negatif,-1
78,putri rahayu,susahnya mengajak masyarakat indonesia bekerja sama pemerintah miris sedih tidak seperti negara cina masyarakat patuh peraturan pemerintah,positif,1
79,Dwi parjiani,indonesia berhati hatilah semuanya tampaknya masuk zaman perang virus antar negara negara berperang terkena imbasnya hati hati bertindak,netral,0
80,mediaan medi,sekarang solusinya pencegahan pak hanya omong,negatif,-1
81,Arief Akbar,telat mau bikin pulau isolasi sekarang keburu pasiennya mati semua tahun tahun kemana tidak ada kepikiran kepala pemerintah buat bikin pulau seperti gitu,negatif,-1
82,mo3zi3z mo3za-azi3z,cara mencegah corona biar tenaga kerja asing cina masuk negara bebas seperti kendari bodoh tetap bodoh,negatif,-1
83,Chris Tian,wahai kawanku indonesia patuhilah aturan pemerintah semi keselamatan bersama semoga semua terjauh virus iniâ¦,positif,1
84,Yetti Finolisa,hanya pohon mampu menghancurkan virus salah satu fungsi pohon menyaring udara kotor,netral,0
85,Tio Maryadi,tidak ada satu negara dibelahan dunia siap menerima wabah tidak bisa diprediksi bukan salah pemerintah negara,positif,1
86,Tio Maryadi,ikhlas diri mulai kecil ikuti aturan pemerintah,positif,1
87,CROSS FISHING,pasti ada jalan keluar bebas virus corona,netral,0
88,imam darmawan,tuhan beri berkat bapak jokowi terima kasih tunaikan tugasmu baik sebagai pemimpin terima kasih pak,netral,0
89,LIMBOK BLITAR CHANNEL,semoga corona cepat berlalu rakyat indonesia semoga selalu lindungan,netral,0
90,Boncos Joosss,kembali masyarakatnya bandel pemerintah udah kasih aturan bijak demi keselamatan bersama,positif,1
91,Ahmad Yani,pemerintah indonesia tidak tegas kerja lambat warga cina masih dibiarkan masuk indonesia,negatif,-1
92,Permula Permula,pemerintah indonesia sekarang menuhankan cina terlalu berharap banyak kepada negara komunis cina mulai barang impor sampai tenaga kerja asing semua cina seperti sah corona harus singgah indonesia semua rakyat harus terima kedatangan corona jangan menyesal,negatif,-1
93,naibin009,perlu sesali pemimpin harus jokowi harus pdip berkuasa tahu tanpa cina pdip tidak mungkin menjadi partai besar tanpa komunis pdip sepi pengikut,negatif,-1
94,Zadista Zadista,udah baik pak jokowi pemerintah keluar aturan supaya virus covid segera selesai rakyat masih kurang puas,positif,1
95,Dicky DK,jadi gini disuruh diam rumah pemerintah beri suplai makanan kebutuhan pokok tidak dibiarin mati kelaparan gitu,negatif,-1
96,Joe1 Coex,bergeraknya bawah jadi penanganan satgas covid bentuk tingkat rt pak rekening kelurahan kecamatan lebih efektif tidak kecolongan basisnya bawah buat jaring seperti sistem pemilu setiap rt wajibkan melaporkan diri data apabila ada warga belum melapor satgas rt setempat wajib jemput bola satgas rt terdiri beberapa tim setiap tim dampingi minimal dokter,positif,1
97,project channel,coba pengemis gelandangan cek siapa tahu bisa terkena mungkin bisa menularkan warga sekitar demi kebaikan bersama,positif,1
98,Sania Salma,pak jokowi jangan biarkan semua terlambat atasi secepatnya tindak tegas,positif,1
99,Sania Salma,sama patuhi aturan pemerintah jangan sampai virus semakin berkembang,positif,1
100,Lia Iriani,daerah ingin rapid tes bagaimana caranya,positif,1
101,Lia Iriani,keluarga mendoakan semoga pak jokowi sehat memimpin negeri tercinta indonesia,netral,0
102,asih siensen,tetap pakai masker kesehatan semua orang,positif,1
103,Yudi Mardani,prihatin sekali kondisi sekarang wabah covid,netral,0
104,Yudi Mardani,tidak pernah bosan mengimbau menerus setiap hari pakai masker cuci tangan jaga jarak pemerintah harus segera bertindak cepat tepat tegas sebelum terburuk terjadi negara sejak awal adanya wabah sampai sekarang,positif,1
105,WH Memai,penanganan indonesia tidak jelas benci sama sistem pemerintah,negatif,-1
106,WH Memai,peraturan pemerintah tidak jelas,negatif,-1
107,Romadhon Ismail,jangan langkah langkah corona pak urus ekonomi pajak harus tangani pak mohon terima kasih,positif,1
108,Haji Ahmad9999,corona hilang penyakit berita bohong masih kuat hancur ekonomi mulai tahun,negatif,-1
109,Eko Susilo,hanya sebatas langkah langkah tidak pasti keluarkan pemerintah miris,negatif,-1
110,Kuplek Brian spot fishing,tolong pak jokowi persulit orang asing masuk indonesia kebaikan rakyat pak,positif,1
111,Siddi Sidarama,sudah gagal bikin sayembara seperti zaman kerajaan dulu ikut siapa tahu hadiahnya sebesar dana sudah dikeluarkan satu bulan ujungnya janji mau dibayar nanti sudah dianggarkan uangnya sudah ada apbn pakai defisit anggaran belum cicilan hutang luar negeri belum tol tidak menghasilkan kasihan pertanda gagal total,negatif,-1
112,Siddi Sidarama,sekarang kehilangan nafkah pemerintah gagal mengatasi wabah covid,negatif,-1
113,koclok Keman,lebih banyak korban mati gantung diri stres kelaparan gila gara lockdown terkena virus,negatif,-1
114,Aripuja Kusuma,akibat lockdown lebih banyak mati kelaparan pasien corona,negatif,-1
115,Zoel Man,semoga peraturan pemerintah lockdown dapat mengurangi angka penyebaran virus corona indonesia,positif,1
116,Salwa Bae,semoga bapak jokowi selalu lindungan,netral,0
117,Udang Pepes,langkah langkah tidak ada tindakan nyata pemerintah,negatif,-1
118,Beng Beng,lockdown membunuh rakyat miskin secara perlahan,negatif,-1
119,Juliani Juliani,sekarang pemerintah panik mau ada darurat sipil segala jadi korban rakyat rakyat dulu,negatif,-1
120,Nabilla Audi Valenzia,solusi pemerintah sama sekali tidak membantu kuli bangunan sama buruh kasar kadang dapat uang kadang tidak mati kelaparan,negatif,-1
121,Nanda Jaya,punya presiden tidak tegas sama sekali indonesia bakal hancur,negatif,-1
122,Ubaid Zubair,tidak perlu panik ternyata banyak orang berkumpul warung kopi perkataan pemerintah tolol,negatif,-1
123,dengil tv ngapak,baru sekarang menteri kesehatan bapak presiden membicarakan soal covid seharusnya bulan lalu bandara harus tutup mencegah covid malah pemerintah santai santai soal covid,negatif,-1
124,Devina Salma,pak jokowi tolong ulurkan bantuan baik sakit tidak tidak keluar rumah kehidupannya minus dibantu biaya makannya tidak bekerja kenyataannya dapat bantuan malah kaya raya miris sama pemerintah sendiri,negatif,-1
125,Andi Refandi sukses,sebenarnya pemerintah harus memberi aturan bahwa pom bensin suruh tutup masyarakat tidak bisa kemana mana dikarenakan virus sedang melanda indonesia rasa baru efektif mengurangi angka penyebaran covid,positif,1
126,Taufik rcm,pemerintah indonesia tidak serius urus corona terlalu santai anggap sepele,negatif,-1
127,Arif Sasmitra,ada hikmah baik sekaligus peringatan mungkin terapkan langkah pemerintah mematuhi peraturan agama bertaubat senantiasa berwudhu terapkan hidup bersih serta penting memakai masker,positif,1
128,Heru Setiawan,ada ide pemerintah mengerahkan petugas puskesmas berkeliling kampung memeriksa warganya alat tes suhu tubuh bila ada warga terindikasi segera diambil sampel darahnya diperiksa alat rapid tes laboratorium sehingga kematian penularan cepat dicegah,positif,1
129,Yan Adihendrawan,sampai detik tidak ada ketegasan presiden pemerintah indonesia sama sekali,negatif,-1
130,eny sinarrizki,rumit aturan pemerintah,negatif,-1
131,Dudi Cnc,indonesia mungkin bisa lebih parah italia soalnya indonesia penduduknya lebih banyak turis asing masih bebas berseliweran pekerja buruh masih beraktivitas penularan pesat masyarakat biar gimana pasti panik hadapi virus mematikan bukan serangga kaya wereng,netral,0
132,Aco Fay,langkah bapak ketinggalan negara sudah melangkah jauh bapak masih duduk santai giliran sudah gini baru jalan,negatif,-1
133,Muhammad Andre,daerah belum ada terkena virus corona sekolah tidak diliburkan,netral,0
134,GABER 17,korban bertambah pak bapak kerja bego jadi presiden,negatif,-1
135,Afifa Abyan,bodoh pemerintah indonesia,negatif,-1
136,Rachma Lestari,berhenti migrasi tenaga kerja asing cina sulawesi daerah manapun indonesia virus covid tidak semakin menyebar,positif,1
137,SERENADA RPRD,omong kosong aturan pemerintah tidak berguna bagi rakyat miskin,negatif,-1
138,Dennies Denis,bingung sama pemerintah warga negara indonesia cina mau pulang karantina dulu mengapa orang asing datang bebas indonesia contoh wilayah depok itukan asal tamu cina bisa langsung masuk indonesia aneh,negatif,-1
139,Masih Pelajar,semoga lockdown indonesia segera bebas virus covid,positif,1
140,Riko master youtub,tidak perlu banyak omong pak presiden terhormat mau tutup semua jalur udara jalur laut mau,negatif,-1
141,Rajes Herman Aefea,pemerintah perlu tegas menutup kunjungan bagi warga negara asing,positif,1
142,Desin monotia,dukung pemerintah mencegah penyebaran virus corona jangan panik tetap waspada selalu berdoa ikuti nasihat pemerintah,positif,1
143,MIB,lockdown hari kehilangan suplai kebutuhan termasuk kebutuhan pokok hari minggu lockdown hari bisa kelaparan bulan terputusnya pasokan kebutuhan pokok,negatif,-1
144,Ihsan Rosady,pemerintah terlalu santai tidak tegas sama sekali,negatif,-1
145,Dodi Haryadi,bandara tutup biar orang luar negeri tidak masuk,positif,1
146,Gloria Yoshepine,pak jokowi udah orang belum lockdown tunggu bapak terhormat semua kena virus corona baru indonesia lockdown,negatif,-1
147,eLtidary,penting presiden harus merakyat pro investasi pancasila corona bukan urusan ambyar rakyatmu jokowi,negatif,-1
148,fahmi ami,akibat militer mengisi jabatan disekitar presiden jadi semua ditutup tutupi,negatif,-1
149,Oritama Zulfikar,tidak layak jadi pemimpin tidak ada ketegasan menyelamatkan warganya,negatif,-1
150,Indria Happy,pemerintah tidak mau ada kesalahan tahu terbaik dilakukan,positif,1
151,009 Anindya Cinta Pertiwi,tidak selesai virus slogan presiden santai punya presiden bego dasar psikopat,negatif,-1
152,Jimmy Vordick,percuma lockdown turis tetap masuk,negatif,-1
153,nisa cantik,pak presiden tutup semua penerbangan asing indonesia tutup semua akses luar baik laut maupun darat mumpung belum terlambat,positif,1
154,barbatos king,negara udah mulai lockdown presiden malah santai lemah,negatif,-1
155,Abud Geming abud,presiden pemerintah indonesia terlalu meremehkan virus tidak pikir keselamatan rakyatnya kecewa,negatif,-1
156,Joyo Suryo,lambat kerja pemerintah,negatif,-1
157,Galang Pengging,tolong tutup semua penerbangan khususnya penerbangan luar negeri mengurangi penyebaran covid,positif,1
158,Ridla yandhani,pemerintah terlalu sibuk urus pariwisata warga mati kelaparan kena covid,negatif,-1
159,Aditya Juwan,pemerintah masih tetap ambil resiko seharusnya kondisi udah semakin banyak kena virus corona awal seharusnya pemerintah karantina semua warga negara jadi bukan cuma menjaga pintu masuk keluar negeri menutup semua pintu masuk keluar negeri,negatif,-1
160,Navis Mohamad,serius baru ditangani ketika sudah ada tertular awal pak harusnya negeri cina waspadai jangan sampai masuk indonesia dulu udah kaya gini baru keteteran,negatif,-1
161,Titi Nurhayatus soleha,gimana mau sembuh selesai virus indonesia bandara masih buka tutup biar tidak menular,negatif,-1
162,ANANABAE CHANNEL,pemerintah sepertinya tidak serius menghadapi virus covid,negatif,-1
163,rifsep TEAM GARPU TALA,jangan cuma cari untung cepat lockdown lambat sekali,negatif,-1
164,syahrul rezi,kecewa asli tidak sangka pak jokowi santai hadapi covid,negatif,-1
165,Alimun Zaeed,ada gejala corona awalnya belanja toko cina habis suhu badan naik batuk pilek punya bpjs tidak mau berobat dokter kasihan dokternya mati kena virus akhirnya minum wedang jahe makan sayur buah pepaya minum ultra flu hari karantina kamar tidur sendiri sekarang sudah sehat bisa kerja sawah,netral,0
166,Mery Chiang,mantap pak semoga lockdown bisa atasi wabah virus corona indonesia,positif,1
167,Hendri Pamujianto,pemerintah indonesia terlalu lambat kecewa harusnya beri tahu daerah mana perlu lockdown,negatif,-1
168,Fajar Muhammad,mau tanya coba tolong tunjukan rontgen pasien covid ada hasil rontgennya bukannya rontgen bisa mengetahui penyakitnya virus,netral,0
169,Erhy Futsall,dana triliunan rupiah kemana semua anehâ selalu salah rakyat dasar pejabat bodoh,negatif,-1
170,Warsin Pratama,penyebaran covid berita bohong tidak bakalan hilang berlanjut mimpi sedunia memuja setan,negatif,-1
171,Kay Bee,sebentar mungkin testernya pak,netral,0
172,Pro Master,doakan terbaik negara indonesia semakin maju sejahtera,netral,0
173,Silvianti Malela Rizkiyah,dulu mestinya pelayanan kesehatan harus perhatikan perbaiki bukan hanya pandemi kecolongan sekarang jadinya,negatif,-1
174,R1SK1-:,semoga tidak suntik takut,netral,0
175,STREWZ Ewong,indonesia orang sakit beda bilang sakit covid lucu indonesia pembohong semua oknum,negatif,-1
176,hajijah ijah,berantas dulu oknum menyatakan covid pasien bukan covid jangan tutup mata laknat membuat kebohongan memalsukan data covid,negatif,-1
177,Bagas Setya,jangan beritakan corona supaya corona indonesia nol tidak ada gampang,negatif,-1
178,Ali Said,setiap rumah sakit harus pantau takut tidak kena covid bilang covid bangkrut negara tolong harus perhatikan,netral,0
179,Nuri Wibi,bohong rumah sakitnya,negatif,-1
180,bardi dhiaz,lebih baik melawan covid banyak makan bergizi bervitamin serta banyak bergerak biar berkeringat,netral,0
181,bardi dhiaz,percuma pakai masker asupan gizi tidak ada sama bohong,negatif,-1
182,Imron Zhico,sudah malas sama penanganan banyak cara sama tetap menyebar intinya tong kosong nyaring bunyinya,negatif,-1
183,AlexKudabesi AlexKudabesi,tidak kenal covid butuh pekerjaan,negatif,-1
184,Mahmud Amud,gimana tidak mau selesai sakit dibilang corona,negatif,-1
185,Agni Baharudin F,bau bau bohong,negatif,-1
186,Yahya Awezome,sebentar puasa sebentar lebaran akankah suasananya begini masihkah diganggu covid,netral,0
187,Cong Berong,sebenarnya media buat pemerintah jelek mata masyarakat memberi berita tidak jelas sumbernya,netral,0
188,alam desa,masih banyak terjadi menyatakan covid orang meninggal jadi banyak keluarga tidak terima makin bodoh sekali covid terjadi orang sakit parah takut rumah sakit takut periksa sedikit covid ada jelas covid tidak pernah periksa keluarga meninggal semua terjadi dulu baru sekarang memperbaiki,negatif,-1
189,Scooter INDEPENDEN,masukan masyarakat tidak dengar sama pemerintah jadi sudah masyarakat tidak mau patuh arahan pemerintah,negatif,-1
190,Violla Metalia,bencana apapun indonesia selalu memanfaatkan pemerintah kesempatan dana mengalir,negatif,-1
191,jordan,corona tidak ada tidak percaya,negatif,-1
192,Satrio Elang,semoga corona cepat berakhir,netral,0
193,Ibnu Uhuy,corona indonesia makin parah,netral,0
194,esha natasya,corona besar beritanya corona jadi ajang unjuk kekuatan punya kekuasaan jabatan,negatif,-1
195,Abu Solichin,ada salah sepertinya pak penanganan covid dana cukup besar terserap rumah sakit pemakaman,negatif,-1
196,Jaki Saputra,pemerintah udah berusaha terbaik sikap masyarakat tidak disiplin,positif,1
197,yogi listi,bapak pejabat pandemi aturan nikahan diundur usaha omsetnya menurun otomatis mengurangi jumlah tabungan,netral,0
198,yogi listi,tolong kepada pemerintah cepat atasi pandemi rakyat merasa aman kembali normal rakyat siap patuhi aturan pemerintah,positif,1
199,Bagus Suryanata07,bunuh virus menyemprotkan disinfektan aspal tetap terapkan protokol kesehatan gunakan jam malam supaya tidak ada orang keluar rumah,positif,1
200,Agung Prasetyo,bicara tidak jelas masukan rakyat didengarkan pemerintah tidak sampai meluas seperti virus covid indonesia sekarang sudah telat semua,negatif,-1
201,Me hmm idk,covid tidak bahaya hanya tipu sama pemerintah,negatif,-1
202,taufik chainel taufik chainel,selagi masyarakat tidak disiplin tidak mematuhi protokol corona makin bertambah marilah patuhi peraturan pemerintah pusat daerah kecamatan,positif,1
203,Anto arkan bima,bisnis oknum oknum tertentu semua penyakit disebut corona semua,negatif,-1
204,refi iman,penyelesaian masalah semua berhenti lakukan protokol berhenti tes berhenti semuanya sesungguhnya disinformasi bukan pandemi semua permainan data statistik belum ada data benar bisa percaya,negatif,-1
205,Arfino Fino,virus belum ganti presiden belum habisâ¦ sudah ganti presiden pasti saling debat tidak mempercayai covid pasti,negatif,-1
206,Forseven Knight,rakyat sudah pintar,netral,0
207,Slonong Boy,omong kosong data corona seperti data pemilu menipu,negatif,-1
208,Haris Azhari,pembahasan penanganan membuat projek bisnis baru masyarakat,negatif,-1
209,Matthew Timothy O.,indonesia menyusul kasus covid iran tidak beda jauh pemerintah tidak tegas atasi virus,negatif,-1
210,Drain Khanna,yakin mau bagaimana penanganannya covid selalu ada seumur hidup meskipun covid hilang data kena covid selalu tambah penting ada uang oknum tertentu,negatif,-1
211,BANGARIF,bapak terhormat tolong psbb jangan menghadang orang keluar susah payah sudah gitu solusi cukup pom bensin diseluruh indonesia ditutup berapa minggu yakin covid berkurang,positif,1
212,kencot official,lockdown membunuh rakyat miskin dipikir gampang cari kerja,negatif,-1
213,reza w,punya menteri kesehatan gini lambat kerjanya,negatif,-1
214,Reihan Aprilia,berhenti insentif covid bantuan langsung tunai berbagai jenis bantuan yakin pasti turun sendirinya,negatif,-1
215,Reihan Aprilia,selama masih ada uang insentif covid pasti banyak pasien covid coba insentif tenaga kesehatan hapus pasti jumlah pasien covid berkurang selama uang masih mengalir penyakit pasti ada,negatif,-1
216,Bagus Basuki,corona berita bohong jangan mau tipu sama pemerintah,negatif,-1
217,Z.Pratama Uki,tidak setuju pemerintah cuma bisa keluarkan aturan lihat orang kaya masih bisa seenaknya liburan luar negeri,negatif,-1
218,Bermain bersama BERLY,luar negeri udah clubing indonesia malah banyak pembodohan,negatif,-1
219,Soni Sunarya,mendingan demo pilkada pasti covid sepi kaya sekarang ada vaksin malah covid ramai pembodohan,negatif,-1
220,Zoee Tube,permisi mau tanya covid,netral,0
221,Muhammad radhitya,kasus indonesia hampir satu juta pantas saat jalan sepi,netral,0
222,Subekhan Chennel,jangan pernah begituan ingat sebenar covid tidak ada cuma gara gara orang besar corona ingat jangan takut corona harus takut corona,negatif,-1
223,KECIPIR HIJAU,berhenti pandemi berhenti tes pcr swab berhenti pemberitaan covid berhenti vaksin berbahaya berhenti lockdown psbb ppkm buka sekolah toko kantor restoran,negatif,-1
224,Dinda rahma fitria,takut dana menyeleweng orang salah,positif,1
225,Abu Solichin,kesadaran protokol kesehatan masyarakat perlu ditingkatkan,positif,1
226,Kekpri 99,hari tetangga mati kanker payudara vonis corona anak amuk rumah sakit tidak terima vonis corona berarti sudah ada penipuan disini,negatif,-1
227,GB S,jangan lupa provokasi sosial media mesti beres banyak senang rakyat kena covid,positif,1
228,bachtiar rofiky,sudah terlambat penanganan pemerintah rakyat sudah semakin menderita,negatif,-1
229,Luu Uutt,telat bpjs masih amburadul undang undang masih melanggar hak asasi manusia,negatif,-1
230,cindysis,menteri terpapar tidak mau bicara kapan bisa selesai masalah negara,negatif,-1
231,Luu Uutt,serius nanya sembuh benar benar sembuh total gejala gejala pasien nyatakan sembuh,netral,0
232,Losdraelyn Beasttank,semoga pandemi cepat berlalu,netral,0
233,Agung Ngurah Wiguna,semoga kegiatan vaksin semoga semua masyarakat indonesia sehat kembali terutama rentan dapat terlindungi,positif,1
234,Bimo Adityo,tetap tidak ada solusi penekanan penyebaran,negatif,-1
