id,username,text,sentimen,label
68,fitri ani,"Usul Pak untuk pecegahan virus korona seharusnya di tindak lanjuti di semua Bandara, setiap pendatang yg dari luar Negeri ke Indonesia entah itu mau liburan/ berkunjung dll sebagainya itu orang2 harus di cek Suhu Panasnya klo terdapat suhu panas tinggi di mohon untuk di dampingi  untuk cek kesehatan di rumah sakit, supaya jelas suhu tinggi di akibatkan kena firus corona apa gak, klo jelas kena firus korona harap di Isolasi supaya firus korona tidak menyebar ke orang2 yg di sekitar. ",positif,1
69,Ivanos Ide,Semoga pak Jokowi sehat selalu dan tegar dgn kondisi yg dihadapinya.,netral,0
70,Ayri 23,Semangat Indonesia ku lawan korona pasti kita bisa semangat,netral,0
71,Rimuru Tempest," jika dari awal tidak meremehkan, dari awal bersiap diri.. ini semua tdk harus terjadi.. harus ada yg berteriak..  harus tunggu manusia sakit dan mati, baru beli alat tesnya..",negatif,-1
72,Lusi Tulungagung,Mohon pd bapak presiden jg kesehatan bapak mg allah selalu melindungi bapak mg bapak sehat trs & dimudahkan untk menangani musibah ini amin,netral,0
73,Kristin Channel,Bapak juga harus sehat terus yah pak..,netral,0
74,Widodo Pare,setuju pak presiden. mantap semoga sehat pak presiden jokowi,netral,0
75,marty Aryadi,"Andai saja setiap rt/ rw diberikan alat lengkap untk mendetski virus corna, buat warganya dan diwajibkan warganya memeriksa kesehatan disetiap rt/ rw masing2 .mungkin bisa gampang terdeteksi, dan warga yg gk kena terpapar virus corna, wajib diksh cairan pembersih tangan /vitamin dsb ,karna banyak warga yg gk mampu beli pembersih tangan /dll  dikarenakan kelangkaan yg udh diborong oleh org yg rakus˜­ semoga kita dijauhkan dr virus corna, semoga seblm puasa corna hilang hanya kenangam",positif,1
76,auliaas,Selamat warga Jakarta dan sekitarnya rapid test... Yg di pelosok apa kabar ya?. Bayar ga ni?.,netral,0
77,Sarah Mardiana,"pemerintah ini kerjanya apa sih, apa gak mikirin keselamatan rakyatnya",negatif,-1
78,putri rahayu,"susahnya mengajak masyarakat indonesia bekerja sama dengan pemerintah miris sedih, tidak seperti negara china masyarakat sangat patuh dengan peraturan pemerintah",positif,1
79,Dwi parjiani,Indonesia berhati - hatilah semuanya karena tampaknya kita masuk ke zaman perang firus antar negara- negara yang berperang dan kita terkena imbasnya hati- hati dlm bertindak.,netral,0
80,mediaan medi,"sekarang Solusinya PENCEGAHAN apa pak, hanya omong doang",negatif,-1
81,Arief Akbar,Telat klo mau bikin pulau isolasi skrg keburu pasiennya mati semua tahun -tahun kemarin kemana aja emang gak ada kepikiran tuh di kepala pemerintah  buat bikin pulau kyk gitu ,negatif,-1
82,mo3zi3z mo3za-azi3z,"Cara mencegah CORONA itu adalah membiar kan TKA CINA masuk negara ini dgn BEBAS seperti di kendari
Bodoh ya tetap Bodoh jae jae jae",negatif,-1
83,Chris Tian,Wahai kawanku indonesia. Patuhilah aturan pemerintah semi keselamatan bersama ...semoga kita semua terjauh dari virus ini…,positif,1
84,Yetti Finolisa,Hanya pohon lah yg mampu menghancurkan virus ini. salah satu fungsi pohon adalah menyaring udara yg kotor,netral,0
85,Tio Maryadi,"Tidak ada satu negara pun dibelahan dunia ini yg siap menerima wabah ini, ini tak bisa diprediksi, bukan saatnya salah kan pemerintah atau negara lain.",positif,1
86,Tio Maryadi,"Saatnya kita mawas diri, mulai dr hal kecil, ikuti aturan pemerintah",positif,1
87,CROSS FISHING,Pasti ada jalan keluar untuk bebas dari virus corona ini...... ,netral,0
88,imam darmawan,"Tuhan beri berkat untuk Bapak Jokowi .  Terima kasih . Kau telah tunaikan tugasmu dengan sangat baik, sebagai pemimpin . Terima kasih pak",netral,0
89,LIMBOK BLITAR CHANNEL,"Smoga corona cepat berlalu, Rakyat Indonesia smoga selalu dalam Lindungan Allah",netral,0
90,Boncos Joosss,"Kembali lg ke masyarakatnya yg bandel, padahal pemerintah udah kasih aturan yang bijak demi keselamatan bersama",positif,1
91,Ahmad Yani,"pemerintah indonesia tidak tegas dan kerja nya sangat lambat, kenapa warga cina masih dibiarkan masuk ke indonesia?",negatif,-1
92,Permula Permula,"Pemerintah indonesia skrng sangat menuhankan china terlalu berharap banyak kepada negara komunis china mulai dari barang2 import sampai TKA semua dari china, sprtinya sah2 saja klw corona pun harus singgah ke indonesia dan kita semua rakyat harus terima kedatangan corona jgn menyesal",negatif,-1
93,naibin009,Yg perlu kita sesali itu kenapa pemimpin kita harus jokowi dan kenapa harus PDIP yg berkuasa pdahal kita tau tanpa china PDIP tidak mungkin menjadi partai besar dan tanpa komunis maka PDIP sepi pengikut.,negatif,-1
94,Zadista Zadista,"Udah baik pak jokowi dan pemerintah keluar kan aturan supaya virus covid segera selesai, tapi rakyat nya masih kurang puas ",positif,1
95,Dicky DK,Jadi gini klo kita disuruh diam dirumah pemerintah ngasih suplai makanan dan kebutuhan pokok gk??? Atau kita emg dibiarin mati kelaparan gitu???,negatif,-1
96,Joe1 Coex,Bergeraknya dari bawah jdi penanganan satgas covid 19 di bentuk dari tingkat RT pak terus ke rekening kelurahan dan kecamatan itu lebih efektif dan gak kecolongan karena basisnya dari bawah buat jaring seperti dlm sistem pemilu di setiap rt di wajibkan melaporkan diri dan di data apabila ada warga yg belum melapor dari satgas rt setempat wajib jemput bola dari satgas rt terdiri dari beberapa team yg setiap team di dampingi  minimal 1 dokter,positif,1
97,project channel,"coba pengemis gelandangan di cek juga siapa tau mereka juga bisa terkena... dan mungkin bisa menularkan ke warga sekitar, demi kebaikan bersama",positif,1
98,Sania Salma,Ayo pk jokowi jangan biarkan ini semua terlambat.. atasi secepatnya tindak dgn tegas..,positif,1
99,Sania Salma,"ayo kita sama2 patuhi aturan pemerintah, jangan sampai virus ini semakin berkembang",positif,1
100,Lia Iriani,Km d daerah ingin rapid test bagaimana caranya?,positif,1
101,Lia Iriani,Sy & keluarga mendoakan semoga pak jokowi sehat trs .... Utk memimpin negeri km tercinta Indinesia,netral,0
102,asih siensen,Tetap pake masker untuk kesehatan semua orang,positif,1
103,Yudi Mardani,"Saya sangat prihatin sekali dengan kondisi sekarang dengan wabah covid 19,",netral,0
104,Yudi Mardani,"saya tidak pernah bosan mengimbau terus menerus setiap hari pakai masker, cuci tangan, jaga jarak Pemerintah harus segera bertindak cepat, tepat dan tegas sebelum hal terburuk terjadi di negara Kita. sejak awal adanya wabah ini sampai sekarang
",positif,1
105,WH Memai,"Penanganan indo gak jelas, apa aku doang yang benci sama sistem pemerintah",negatif,-1
106,WH Memai,peraturan pemerintah gak jelas,negatif,-1
107,Romadhon Ismail,Jangan langkah langkah corona aja pak di urus tapi ekonomi dan pajak harus di tangani pak saya mohon trima kasih,positif,1
108,Haji Ahmad9999,Corona hilang penyakit hoax masih kuat..  hancur ekonomi  mulai thn 2020,negatif,-1
109,Eko Susilo,"Hanya sebatas langkah langkah yang tak pasti yang di keluarkan pemerintah, miris",negatif,-1
110,Kuplek Brian spot fishing,"Tolong pak Jokowi persulit orang asing masuk ke Indonesia, untuk kebaikan rakyat pak",positif,1
111,Siddi Sidarama,"sudah gagal, bikin sayembara seperti zaman kerajaan dulu, saya ikut, siapa tahu hadiahnya sebesar dana yang sudah dikeluarkan satu bulan ini, ujungnya janji mau dibayar, tapi nanti kalau sudah dianggarkan dan uangnya sudah ada, karena apbn saja pakai defisit anggaran, belum cicilan hutang luar negeri, belum lagi tol yang tidak menghasilkan, kasihan, ini pertanda gagal total",negatif,-1
112,Siddi Sidarama,sekarang kehilangan nafkah karena pemerintah gagal mengatasi wabah covid 19 ini,negatif,-1
113,koclok Keman,"Lbih banyak korban yg mati gantung diri ,stres, klaparan, gila.
Gara2 lockdown dri pada yg terkena virus.",negatif,-1
114,Aripuja Kusuma, akibat lockdown akan lebih banyak yang mati kelaparan dari pada pasien corona...,negatif,-1
115,Zoel Man,semoga dengan peraturan pemerintah lockdown dapat mengurangi angka penyebaran virus corona di indonesia,positif,1
116,Salwa Bae,Semoga bp jokowi slalu dalam lindungan mu ya alloh amin.,netral,0
117,Udang Pepes,"Langkah2 langkah terus, tapi gak ada tindakan nyata dari pemerintah",negatif,-1
118,Beng Beng,lockdown akan membunuh rakyat miskin secara perlahan ,negatif,-1
119,Juliani Juliani,Sekarang pemerintah panik mau ada darurat sipil segala yg jadi korban rakyat dan rakyat dari dulu,negatif,-1
120,Nabilla Audi Valenzia,"solusi pemerintah sama sekali tidak membantu untuk kuli bangunan sama buruh kasar, kami yang kadang dapat uang kadang tidak akan mati kelaparan",negatif,-1
121,Nanda Jaya,"punya presiden tapi gak tegas sama sekali, indonesia bakal hancur ",negatif,-1
122,Ubaid Zubair,Gak usah panik. Ternyata banyak orang nongkrong di warkop karena perkataan pemerintah yang tolol,negatif,-1
123,dengil tv ngapak,"Kenapa baru sekang menteri kesehatan dan bapak presiden  membicarakan soal covid19 .
Seharusnya dari 2 bulan yang lalu bandara harus di tutup untuk mencegah covid19... Eh malah pemerintah santai santai ajah soal covid19.",negatif,-1
124,Devina Salma,"Pak jokowi tolong ulurkan  bantuan baik yg sakit atau yang tidak.... Yang tidak keluar rumah yang kehidupannya minus dibantu biaya  makannya.... Karena tidak bekerja, tapi kenyataannya yg dapat bantuan malah yg kaya raya, miris sama pemerintah sendiri",negatif,-1
125,Andi Refandi sukses,"Sebenarnya pemerintah harus memberi aturan bahwa pom bensin suruh tutup agar masyarakat gak bisa kemana mana .dikarenakan virus ya sedang melanda Indonesia, saya rasa ini baru efektif untuk mengurangi angka penyebaran covid19",positif,1
126,Taufik rcm,pemerintah indonesia Ga serius urus corona... Terlalu santai dan anggap sepele... ,negatif,-1
127,Arif Sasmitra,"Ada hikmah yg baik,, tp jg sekaligus peringatan dr Allah. InsyaAllah
Mungkin selain terapkan langkah2 dari pemerintah, jg mematuhi peraturan"" dr( agama) Allah. Bertaubat, Senantiasa berwudhu, Terapkan hidup bersih serta penting memakai masker. ",positif,1
128,Heru Setiawan,"saya ada ide untuk pemerintah mengerahkan petugas puskesmas berkeliling kampung memeriksa warganya, dengan alat tes suhu tubuh, dan bila ada warga yang terindikasi segera diambil sampel darahnya untuk diperiksa dengan alat repid tes di labotarium. Sehingga kematian dan penularan cepat dicegah.",positif,1
129,Yan Adihendrawan,sampai detik ini tidak ada ketegasan dari presiden dan pemerintah indo sama sekali.,negatif,-1
130,eny sinarrizki,ribet banget aturan pemerintah,negatif,-1
131,Dudi Cnc,"Indonesia mungkin bisa lebih parah dari italy, soalnya indonesia penduduknya lebih banyak, turis asing masih bebas berseliweran ,pekerja, buruh pada masih beraktivitas, untuk penularan sangat pesat, masyarakat biar gimana pun pasti panik, yg kita hadapi virus yg mematikan ,bukan serangga kaya wereng...",netral,0
132,Aco Fay,"Langkah bapak ketinggalan, negara lain sudah melangkah jauh, bapak masih duduk santai, giliran dah gini baru jalan...",negatif,-1
133,Muhammad Andre,"Alhamdulillah di daerah saya belum ada yang terkena virus Corona, dan sekolah tidak dilburkan",netral,0
134,GABER 17,"Korban trs bertambah pak.. bapak kerja nya apa sih, bego banget jadi presiden",negatif,-1
135,Afifa Abyan,Stupid pemerintah indonesia ini,negatif,-1
136,Rachma Lestari,"Stop migrasi tka dr cina ke sulawesi ato daerah manapun d indonesia, agar virus covid19 tidak semakin menyebar",positif,1
137,SERENADA RPRD,"Omong kosong dengan aturan pemerintah, gak berguna bagi rakyat miskin",negatif,-1
138,Dennies Denis,Sya bingung SMA pemerintah. WNI dari cina mau pulang aja di karantina dulu. Tapi mengapa orang asing datang dengan selonong boy ke Indonesia. Contoh yg di wilayah Depok. Itukan asal nya tamu dari cina kenapa bisa langsung masuk ke Indonesia aneh.,negatif,-1
139,Masih Pelajar,semoga dengan lockdown indonesia segera bebas dari virus covid19 ini,positif,1
140,Riko master youtub,Gak usah banyak omong pak presiden terhormat ...kami mau tutup semua jalur udara dan jalur laut.. itu yg kami mau..,negatif,-1
141,Rajes Herman Aefea,Pemerintah perlu tegas menutup kunjungan bagi warga negara asing,positif,1
142,Desin monotia,"Ayo kita dukung pemerintah dalam mencegah penyebaran virus corona.  Jangan panik namun tetap waspada dan selalu berdoa,  ikuti nasehat dari pemerintah dan WHO",positif,1
143,MIB,"Lockdown 1 hari = kehilangan supply kebutuhan termasuk kebutuhan pokok untuk 14 hari (2 minggu).
Lockdown nya 10 hari = bisa pada kelaparan 5 bulan karena terputusnya pasokan kebutuhan pokok.",negatif,-1
144,Ihsan Rosady,"pemerintah terlalu santai, gak tegas sama sekali",negatif,-1
145,Dodi Haryadi,Bandara tutup aja biar orang dari luar negeri gk masuk,positif,1
146,Gloria Yoshepine,"Pak Jokowi ini udah 96 orang dan belum di lockdown..
tunggu bapak2 terhormat semua kena virus corona baru indonesia di lockdown ",negatif,-1
147,eLtidary,"yang penting presiden itu harus merakyat, pro investasi & pancasila.. corona mah bukan urusan saya.. Ambyar Rakyatmu pakde",negatif,-1
148,fahmi ami,"ini akibat militer mengisi jabatan disekitar presiden, jadi semua ditutup tutupi",negatif,-1
149,Oritama Zulfikar,Ga layak jadi pemimpin ga ada ketegasan untuk menyelamatkan warganya ,negatif,-1
150,Indria Happy,"Pemerintah tidak mau ada kesalahan,  mereka tau yang terbaik yang dilakukan.",positif,1
151,009 Anindya Cinta Pertiwi,"gak akan selesai ini virus kalau slogan presiden nya saja santai, punya presiden kok bego, dasar psikopat",negatif,-1
152,Jimmy Vordick,Percuma lockdown kalau turis tetep masuk ,negatif,-1
153,nisa cantik,pak presiden tutup aja semua penerbangan asing ke Indonesia tutup semua akses dari luar. baik yg dari laut maupun dari darat mumpung blm terlambat ,positif,1
154,barbatos king,"Negara lain udah mulai lockdown ,presiden kita malah santai, lemah banget",negatif,-1
155,Abud Geming abud,"presiden dan pemerintah indonesia Terlalu meremehkan virus ini, gak pikir kan keselamatan rakyatnya, kecewa",negatif,-1
156,Joyo Suryo,Lambat banget kerja pemerintah,negatif,-1
157,Galang Pengging,"Tolong di tutup semua penerbangan khususnya penerbangan luar negeri, untuk mengurangi penyebaran covid19",positif,1
158,Ridla yandhani,"pemerintah terlalu sibuk urus pariwisata, warga nya mati kelaparan dan kena covid",negatif,-1
159,Aditya Juwan,"Pemerintah masih tetap ambil resiko, seharusnya kalo kondisi udah semakin banyak yg kena virus korona, dari awal seharusnya pemerintah karantina semua warga negara, jadi bukan cuma menjaga pintu 2x masuk, keluar negeri, tapi menutup semua pintu masuk dan keluar negeri.",negatif,-1
160,Navis Mohamad,"Serius baru ditangani ketika sudah ada yg tertular, dari awal pak harusnya yg dr negeri cina di waspadai jangan sampai masuk k Indonesia dulu..  Kalo udah kaya gini kan..  Baru keteteran",negatif,-1
161,Titi Nurhayatus soleha,"Gimana mau sembuh dan selesai ini virus di indo kalau bandara masih buka, tutup dong biar ngga menular",negatif,-1
162,ANANABAE CHANNEL,pemerintah sepertinya gak serius menghadapi virus covid19,negatif,-1
163,rifsep TEAM GARPU TALA,Jgn cuman cari untung doang cepet lockdown woi lemot amat ..,negatif,-1
164,syahrul rezi,"Kecewa banget asli , gak sangka pak jokowi se santai ini hadapi covid19",negatif,-1
165,Alimun Zaeed,"Kemarin saya ada gejala corona, awalnya blanja di toko cina, habis itu suhu badan naik, batuk, pilek,, saya pnya bpjs, tapi saya tak mau berobat ke dokter, kasian klo dokternya mati kena virus,, akhirnya minum wedang jahe, makan sayur buah pepaya, dan juga minum ultra flu,, 4 hari saya di karantina di kamar tidur sendiri,, sekarang sudah sehat bisa kerja ke sawah lagi",netral,0
166,Mery Chiang,"Mantap Pak, semoga lockdown bisa atasi wabah virus corona di indo...",positif,1
167,Hendri Pamujianto,"pemerintah indo terlalu Lamban, kecewa... harusnya di beri tahu daerah mana aja.. klo perlu di lockdown. ",negatif,-1
168,Fajar Muhammad,"mau tanya, coba tolong tunjukan rontgen pasien covid 19, apakah ada hasil rontgennya? bukannya rontgen bisa mengetahui penyakitnya ataupun virus?",netral,0
169,Erhy Futsall,"Dana triliunan rupiah kemana semua?? aneh..‚ yg selalu salah rakyat, dasar pejabat stupid...",negatif,-1
170,Warsin Pratama,"Penyebaran kovid 19 hoak gak bakalan hilang dan terus berlanjut ,karna saya mimpi sedunia yg memuja dajal",negatif,-1
171,Kay Bee,Sebentar lg mgkn testernya pak,netral,0
172,Pro Master,Doakan yg terbaik untuk negara ini. Amin. Indonesia semakin maju dan sejahtera. Amin,netral,0
173,Silvianti Malela Rizkiyah,"Dari dulu, mestinya pelayanan kesehatan memang harus di perhatikan dan di perbaiki. Bukan hanya karena pandemi. Kecolongan sekarang kan, jadinya.",negatif,-1
174,R1SK1-:,Semoga aku gk di suntik Takut,netral,0
175,STREWZ Ewong,di indo org sakit nya beda di bilang sakit covid lucu ini Indonesia. pembohong semua ini oknum,negatif,-1
176,hajijah ijah,"berantas saja dulu itu oknum2 yang meng covid kan pasien bukan covid, jangan tutup mata kalian, laknat kalian yang membuat kebohongan dan yang memalsukan data2 covid",negatif,-1
177,Bagas Setya,Jangan beritakan corona supaya corona di indonesia nol /tidak. ada. gampang kan,negatif,-1
178,Ali Said,Setiap rumah sakit harus di pantau juga takut tidak kena covit bilang covit bangkrut negara tolong ini harus di perhatikan,netral,0
179,Nuri Wibi,Bohong doang rumah sakitnya....,negatif,-1
180,bardi dhiaz,Lebih baik melawan covid dengan banyak makan bergizi dan bervitamin serta banyak bergerak biar berkeringat...,netral,0
181,bardi dhiaz,"percuma pakai masker kalau asupan gizi tidak ada, sama saja bohong",negatif,-1
182,Imron Zhico,Dah lah gue males sama penanganan nya banyak cara namun sama saja tetep menyebar intinya tong kosong nyaring bunyinya,negatif,-1
183,AlexKudabesi AlexKudabesi,"gak kenal covid gw, gw butuh pekerjaan",negatif,-1
184,Mahmud Amud,Gimana engga mau selesai sakit apa aja dibilang corona.,negatif,-1
185,Agni Baharudin F,Bau Bau Cocot terus,negatif,-1
186,Yahya Awezome,"Sebentar lagi puasa, sebentar lagi lebaran... Akankah suasananya begini lagi masihkah diganggu oleh covid-19",netral,0
187,Cong Berong,"sebenarnya media ini yang buat pemerintah jelek di mata masyarakat, memberi berita yang tidak jelas sumbernya",netral,0
188,alam desa,"Yang masih banyak terjadi, mengcovidkan orang yang meninggal. Jadi banyak keluarga yang gak terima, dan makin bodoh amat dengan covid,... Yang terjadi orang sakit parah takut ke rs, takut periksa, karena dikit2 covid, ada juga dia jelas covid tapi karena gk pernah periksa 1 keluarga meninggal semua.... Ini terus terjadi dari dulu... Kok baru sekarang memperbaki....",negatif,-1
