id,text,sentimen,label
34,"Dana 85,8 Triliun.
Ada yang sama sekali yg tdak dpt bantuan.
Trus sisa dana di kemanakan..???",negatif,-1
35,Hanya ngomong ppkm tapi nggak mikir rakyat menjerit cari nafkah ada penyekatan ujung2 nya uang. rakyat jadi korban,negatif,-1
36,"ya ksihan dong orang orang gak tahu 'apalagi gak mampu"" seharusnya di kasih tahu caranya ""jgan ini mah  di data cuma ktp doang sama kk"""" pas giliran  di data  gak bisa""",negatif,-1
37,Berikutnya vaksin msh gratis gak?,netral,0
38,Hhmmm..... kemana uangnya???,netral,0
39,Media2 hrs lebih bijak.. jgn menambah suasana makin gaduh dgn berita yg norak dan berlebihan,netral,0
40,"Yg penting Pemerintah menjamin cukup makanan, nyaman dan aman di rumah, khususnya pd Rakyat miskin.",positif,1
41,tolong dong kluarga disabilitas diberi perhatian khusus. soalnya banyak yg tdk dpt kesejahteraan sosial baik pkh maupun bantuan lainnya. trm ksh.,netral,0
42,"mau ke dinsos takut yg ada di hina"" atau di tertawain ""kalau dapat ya gak apa apa kalau gak dapat ya psti kesal""' masa harus di beda bedakaan"" udah ktp sini cilegon"" kampungnya jawa"" gak prnah dapat",negatif,-1
43,Jdi yg blum dapat bantuan bisa mengajukan ke desa setempat atau rt rw setempat ...,netral,0
44,"kalau misalkan ga kebagian semua mendingan jangan di bagi  karna kasihan yg ga dapat bantuan,, jadi separuh separuh tapi harus diem. ",negatif,-1
45,"Bertindak dong pemerintah, jgn debat Mulu, gak guna",negatif,-1
46,Terus gmn nasib perut rakyat yg masih kost & kontrak... thn 2020 aja bantuannya gak merata... gak ada solusi!!!,negatif,-1
47, Ketahuilah Bangsat2..!!! Si Covid ini tidak akan pernah hilang dan musnah dari bumi ini. Amin.,negatif,-1
48,Yg sudah suntik vaksin malah meninggal.. yg mna yg bener sih berita ini.. sungguh membingungkan.. lebih baik percaya sm diri sendiri aja.,negatif,-1
49,"Mudah mudahan gak ada yang korupsi dana bantuan covid ini ya Allah ,indonesia kuat",positif,1
50,Sudah gak dapat pkh. gak dapat bantuan anak sekolah... aduh.. dari sd sampe smp gak dapat. orang yang Kaya Kaya dapat terus..,negatif,-1
51,Ya iyalah... jangan hanya pidananya saja yg di ambil dr uu karantina tp kompensasi nya juga hrus di patuhi pemerintah...,positif,1
52,kenapa kita nga menerapkan absen berantai setiap KK? jd isoman selama 10 hari liat reaksi' a gmn. klo yg sehat dipisah Ama yg hrs isoman.. sya pikir bakal cpt selesai masalah covid,positif,1
53,"Bacot la,  beritnya covid sma politik mulu.  Media cari uang gini amat ya skrng",negatif,-1
54,selagi masarakat yang gak disiplin dan tidak mematuhi protokol  3 m maka corona mangkin bertambah marilah kita patuhi pelaturan pemerintah pusat daerah  dan kecamatan,positif,1
55,Ini cm prank dari pemerintah,negatif,-1
56,Jangan melalui rt... mnding di ambil ke pos.. ga bs percay Klu dah di tangan rt,negatif,-1
57,"tidak perlu lockdown, kami lebih butuh makan untuk hidup",negatif,-1
58,Kalau bulan juli 2021 masih covid 19 ngga,netral,0
59,"Buktikan dong, jangan Cuma ngomong doang pemerintah, kasih aturan yang menyengsarakan rakyat, tapi janjinya bohong semua, miris",negatif,-1
60,"Smg virus di dunia ini cpt berlalu dn musnah jgn pernah kembali lagi,,",netral,0
61,"Vaksin di amerika kurang laku terutama daerah2 yg dikuasai partai trump, makanya disuruh vaksin biar bebas memakai masker. Di amerika warga terbagi antara pro dan kontra pemakai masker tergantung pilihan politik.",netral,0
62,ayo dong rakyat indonesia kerja sama dengan pemerintah biar cepat selesai ini covid,positif,1
63,"PPKM itu kan justru karena pemerintah gak mau membiayai ke kita, kalo lockdown kan ada yang undang undang dulu kita harus di fasilitasi a b c.",negatif,-1
64,Klo orang kita susah di atur klo di Arab kita keluar rmh lebih dari 3jam uang 50jt klo gak pake masker 3jt uang indo harus miskin kaya sama klo gak di penjara I th,positif,1
65,Di minas riau belum dapat di jalan yos sudarso..... wkwkwk,netral,0
66,"Sampai kiamat ga bakalan kelar urusan copid, biar pun vaksin sudah ada, karena sejatinya copid skrng sudah ladang usaha dan bisnis, dan pemerintah pun suka dgn adanya copid",negatif,-1
67,Di data tapi gak dapat bantuan apa -apa. NOL BESAR,negatif,-1
68,Bagaimana memberi kepercaya kepada warga tempat saya agar mau divaksin? Saya sudah kasih lihat tanda bukti saya bahwa saya sudah divaksin tapi mereka tetap belum mau divaksin. Tempat saya ada 600 kk yang baru divaksin bisa dihitung sama jari.,positif,1
69,Semoga keadaan kehidupan seperti semula.. amiin.. jujur lebih baik,netral,0
70,salah siapa ini ....negara sampai gk mampu menyelesaikan... D tinggal minum kopi n rokok   lanjut tidur...... nikmat. bangun tidur makan n minum kopi lnjut tidur lgi ....nikmat. itu untk yg punya tabungan tpi yg Nol tabungan .....jawab sendiri Bos.,netral,0
71,Lagi tunggu ada ga berita crazy rich Indonesia nyumbang,netral,0
72,Pentingnya pengawasan dan terus melakukan audit investigasi sebagai bentuk antisipasi kebocoran keuangan negara .,positif,1
73,"Prokes tetep harus jalan, masker tetap di pakai walaupun sudah vaksin, karena tidak ada salahnya hidup sehat",positif,1
74,Ayo pk jokowi jangan biarkan ini semua terlambat.. atasi secepatnya tindak dgn tegas..,positif,1
75,Gak mungkin dapat membuat vaksin secepat itu,negatif,-1
76,Gak bakal selesai sebelom kena semuanya..,negatif,-1
77,"Alhamdulillah di daerah saya belum ada yang terkena virus Corona, dan sekolah tidak dilburkan",netral,0
78,setelh di vaksin semoga aman tidak terjadi yg aneh2 nantinya,positif,1
79,Mohon maaf sama pemerintah tingkat kabupaten tolong tinjau didesa desa masalah bantuan kenapa yg kaya dapat yang miskin lewat ..aneh,negatif,-1
80,"jangan mau lockdown, mati kelaparan ntar kalian",negatif,-1
81,Semoga sehat slalu pak presiden jokowi... semoga Allah melindungi nya selalu amiin yarobbal allamin,netral,0
82,"Ini baru benar, krna amerika sdh yakin sama vaksin mereka, sementara negara kita masih coba2..",netral,0
83,Duit dah Habis baru lockdown... . korban dah banyak...,negatif,-1
84,"Sy tinggal di Jakarta, sangat kecewa sy melihat klakuan orang2 disini, dari yg remaja sampai yg sdh lansia sangat super susah di imbau untuk waspada corona, bahkan msh banyak yg beranggapan dan membuat lelucon tentang situasi pandemik global ini cuma isu yg dibesar2kan . entah sudah berapa banyak carrier disini yg belum terdeteksi",positif,1
85,"Sungguh saya sangat kecewa sebagai rakyat tidak mampu  yang hidup masih numpang berteduh satu atap sama mertua.. tidak pernah mendapatkan bantuaan apapun
Semenjak covid 19 .  2 kk  satu rumah   yang mendapatkan bantuaan hanya mertua.. sedangkan saya.. 
hanya bisa diam dan melihat..! tidak adilnya pemerintah pusat maupun pemerintah daerah..Yang sebelum nya sudah kita perjuangkan dan memberikan nya amanah..",negatif,-1
86,"Vaksinnya itu haram, jadi jangan mau di vaksin",negatif,-1
87,"O gitu cara mainnya?!
Dzalim.",negatif,-1
88,"Ayo kita perangi korona, jangan mau di kibulin, yg setuju silahkan balas komentar saya",positif,1
89,"iya pak klw kami rakyat kecil insyaallah tetap mematuhi,",positif,1
90,"covid ini bukan tentang diri sendiri, ini menular.
Jangan sampai kaya kasus di Italia yg awalnya menyepelekan dan sudah terlanjur banyak sudah terlanjur susah ditanggani.
",positif,1
91,kemungkinan bakal di hilang berarti karantina,netral,0
92,Banyak berita pasien di covid kan oleh nakes dan rumah sakit padahal mereka tidak covid 19.,negatif,-1
93,Mending di hentikan bantuannya ....kebanyakan gk tepat sasaran,negatif,-1
94,Saya ko ga lanjut dapet bst yang 300,netral,0
95,"Langkah bapak ketinggalan, negara lain sudah melangkah jauh, bapak masih duduk santai, giliran dah gini baru jalan...",negatif,-1
96,Donasi donasi massa untuk saudara sebangsa gk bisa,positif,1
97,di indonesia ngk akan hilang corona karna di buat bisnis,negatif,-1
98,Pasti ada jalan keluar untuk bebas dari virus corona ini...... ,netral,0
99,Bohong bgt bnyak yg kaga dapet... malah skrg yg biasanya dapet bansos malah kga dapet. .bukannya makin baik malah tambah hancur,negatif,-1
100,Maaf bapak pejabat. Karena pandemi dan aturan nikahan sy diundur karena usaha saya omsetnya menurun dan otomatis mengurangi jumlah tabungan saya.,netral,0
101,"Sampai kiamat pun korona gk bakalan hilang, media dan beritalah yang membawa virus korona, media dan berita mah memang lh kejam",negatif,-1
102,"saya akan ikuti aturan pemerintah, biar cepat selesai ini covid",positif,1
103,"Terserah kalian Indonesia seperti apa jadinya besok...
(Kata2 pemerintah yang tersuplai).

Listrik pangan minyak d hasilkan dari tanah kita...
Kok kita gak dapat hasilnya..
Padahal itu hasil murni dari tanah kelahiran kita....

YANG PALING TAKUT K VIRUS ITU ORANG YANG PUNYA UANG/ KAYA..

kami usaha hanya takut kelaparan bukan kekurangan..

Yng dapat bantuan coba d publikan biar kita gamblang...
Wacana aja d koarkan...",negatif,-1
104,"As Pantas Cepat maju Karna Pemerintahnya tak seperti 
Pemerintah Indonesia yang lemah dan gak tegas",negatif,-1
105,kasus bansos kemarin selesaikan ya.... trus bansos skrng jgn dijadikan tembok pelupa,negatif,-1
106,Liat kejadian India Mr Joe Biden,netral,0
107,"masih banyak bantuan yang di korupsi, pemerintah pasti tau masalah ini, tapi ternyata hanya tutup mata saja",negatif,-1
108,"Saya gak pernah dapat bantuan covid 19
Kami rakyat kecil 
Dari desa bektiharjo Kec semanding kab TUBAN jatim 
Tolong kami pak presidenku 
Semenjak covid gk pernah dapat bantuan",negatif,-1
109,"KEPADA PARA PAHLAWAN VAKSIN KORONA, KABUT DI PAGI HARI APAKAH ADA ZAT ATAU VIRUS BAIK UNTUK MELAWAN KORONA",netral,0
110,Semoga dengan kegiatan vaksin semoga semua masyarakat indonesia sehat kembali terutama yang rentan dapat terlindungi ,positif,1
111,"Untuk kesejahteraan masyarakat, bagi PNS untuk menyisihkan dari gaji untuk masyarakat apa berani ga ini",positif,1
112,Infrastruktur dihentikan dulu... Dana difokuskan ke penanganan copid,positif,1
113,"Kalau lockdown siap gk memenuhi kebutuhan sehari hari ??? 
Makan, listrik, cicilan kredit, dsb ??!!! 
Kalau Negara lain ok lockdown tapi rakyat semua kebutuhan di penuhi itu yang pertama !!! 
Kedua, virus itu di udara sudah tidak ada, virus sudah terlanjur di manusianya kalau di lockdown ok setelah selesai lockdown virus nya menyebar antar manusianya sama saja percuma !!!!!
Kalau mau lockdown dari awal kasus terkonfirmasi jadi belum sempat menyebar kemana -mana!!!",positif,1
114,Yg koment  lockdown.. coba aja lockdown rumah sendiri 1 minggu dulu baru  koment.....,negatif,-1
115,"Masyarakat kecil itu resikonya dobel pk.
Pertama harus berjuang melawan virus corona.
Kedua harus berjuang bagai mana caranya untuk tetap bertahan hidup.",positif,1
116, ini yg membuat nakes kejar target berbondong bondong data di covid kan ...klo udh  d stop kan pasti pda malas ,positif,1
117,"Di lockdown ga mau ..suruh pake masker yg bener ga mau... dah dibilang jgn mudik ga denger juga... kasian sih pemerintah kita pontang panting mikir buat rakyatnya biar ga kayak INDIA, eh warganya seenaknya aja... semoga kita dijauhkan dari kondisi spt INDIA..",positif,1
118,Masyarakat kita msh byk yg TDK percaya dgn wabah covid19 ini. Terutama umat Islam non NU dan Muhamnadya. Kelompok ini yg dgn nyata nyata tdk mengindahkan seruan pemerintah .,negatif,-1
119,"Serius nanya apakah yg sembuh emang benar benar sembuh total?
Dan apa saja gejala gejala pasien di nyatakan sembuh.

",netral,0
120,Setelah ppkm selesai..... Langsung beritanya covid menurun.... Pasien pada sembuh.... Wisma atlet kosong.....,netral,0
121,"Wna yang datang ke indonesia harusnya di stop kan dulu, bukan dibiarkan masuk gini",negatif,-1
122,kocak.. dia yg bikin dia yg obati.. Terlihat ini virus di bikin bisnis,negatif,-1
123,apasih pemerintah kerjanya ga pernah jelas,negatif,-1
124,"Halu apa ya nih orang..? 
*FDA dan WHO sendiri MERILIS minimal UJI Vaksin TAHAP 3 baru selesai Maret 2021..*",negatif,-1
125,kayaknya PSBB gak ada gunanya,negatif,-1
126,SARAN SAYA. kalo mau lockdown segera lockdown.. sebelum terlambat...  selama lockdown bikin dapur umum tiap rw.. kasih makan rakyat gratis 3x sehari. jangan bilang negara gak punya duit.. ngutang lagi aja negara berapa ratus triliun.. untuk makan rakyat gak masalah.. kan yg bayar hutang negara yaitu rakyat & anak cucu kita.. jangan itungan kalo buat makan rakyat...,positif,1
127,"kesejahteraan hanya bagi rakyat kaya pak, saya kehilangan kerja pak buat makan sulit harus utang kanan kiri gak makin makmur makin sakit semua",negatif,-1
128,Ujung2nya di korupsi.... masuk kantong pemerintah daerah,negatif,-1
129,Ayo sama sama berjuang jangan biarkan indonesia yang sudah bagus ini manusia nya mati masal punah di habisi virus corona,positif,1
130,Ini sudah tidak adil... banyak pengusaha besi tua mendapatkan bansos berupa uang 300 rb... banyak warga miskin yg tdk mendapatkan....,negatif,-1
131,semoga dana nya nggak dikorupsi....,positif,1
132,"apalagi kalau ktp jawa ya gak bakalan  dapat"" psti nanti ada yg gak suka"" tpi ini lah kenyantaan ngadu ke gusti allah sudah ink masalah keadillan: orang saya juga ngontrak 'ora punya punya apa""",negatif,-1
133,"dulu udah 14 lanjut lagi 14 ada hasilnya gak , ,rakyat sangat kelaparan perutnya, ,",netral,0
134,"saya tidak mau vaksin, kita hanya di bodohi pemerintah biar dapat cuan",negatif,-1
135,"INDONESIA GA BAKAL KELAR, karena dijadikan BISNIS.",negatif,-1
136,"Ga butuh vaksin, butuhnya pekerjaan pak",negatif,-1
137,"Lebih penting memakai helm di jalan dari pada memakai masker,",negatif,-1
138,Rata2 di desa yg dapet bantuan itu kluarga perangkat desa ato kluarga nya pak rt..  .,negatif,-1
139,"Bingung nih mau di vaksin atau tdk ya  krn vaksinnya beda jenis nih ? Maunya di vaksin sinovac , apa bisa ya ?",positif,1
140,ma'ruf amin mana..?? kok gak nampak turun di lapangan gak kyak jusuf kalla dulu klo ada bencana langsung turun ke lapangan memberikan arahan dan bantuan. h,negatif,-1
141,"ayo pemerintah aku dukung lockdown, demi kebaikan bangsa",positif,1
142,Di desa saya dukuh mojo kecamatan celuwak kabupaten  pati jawa tengah 1rt yg dapat 600 hanya 6orang saya sebagai warga miskin blum dpat apapun kasian yg janda tua juga blum dapet,negatif,-1
143,"punya tetangga pda diam diam aja gak di kasih tahu' takut iri kali sama saya"" apa yg d iriin sama saya gak punya apa apa'"" bnyak ko gak dapat teman saya ada di ciberko lebih parah"" ketahuan ada usahanya ukm gak prnah dapat juga yg lain lain",netral,0
144,"klo ngga lockdown dr awal, pasien bisa tambah bnyak melebihi tenaga medis. tenaga medis smakin menyusut karena tertular ngga bisa kerja. klo smpe pasien lebih bnyak dr tenaga medis. baru lockdown itu sudah telat .INDONESIA berakhir",negatif,-1
145,RT /RW Cimahi itu geblek semua,negatif,-1
146,Bosen amat covid mulu,netral,0
147,Dijamin rakyat tambah susah ,negatif,-1
148,"Jangan sampe bansos yg sudah2 di korupsi terulang kembali, dari warga kelurahan sukajadi, karawaci, tangerang.",positif,1
149,Ga layak jadi pemimpin ga ada ketegasan untuk menyelamatkan warganya ,negatif,-1
150,"Mau tanya sama joe biden ini, apa yg sudah vaksin bebas dari menularkan ke orang lain juga?? Mungkin mereka kebal tp virus tetap ada di diri mereka dan itu bisa menular ke yg belum kebal (di vaksin)",netral,0
151,"Udh telat, Harusnya lebih jeli dong kalau urusan kayak gini gini.. Ini kan kerja sama kemenhub, kemenlu, kemenkes",negatif,-1
152,Bodo amat corona buat bisnis para pejabat,negatif,-1
153,"Masker saja ga ada dimana2
Di jakarta",negatif,-1
154,Dari awal covid 19 sampai sudah berganti tahun 2021 belum pernah saya merasakan dapat bansos atau apapun jenis bantuan nya buat meringankan rakyat kurang mampu seperti saya.ðŸ™ Saya tetap berdagang kelontong juga tidak ada bantuan .kalo ada sarana online mending saya daftar online.,negatif,-1
155,Ktnya klo kk baru gx terdaftar jdi gx dpet bansos uang tunai..,netral,0
156,PaSti Lah kesejahteraan RaKyaT pasTi TerJamin ,positif,1
157,dana desa ini mau nya di perhatikan bener,netral,0
158,dari cara pemerintah atasi covid Keliatan covid ini memang untuk bisnis buat pemerintah sama rumah sakit !!,negatif,-1
159,"Dana triliunan rupiah kemana semua?? aneh..‚ yg selalu salah rakyat, dasar pejabat stupid...",negatif,-1
160,Pemerintah tak perlu kuatir masyarakat Indonesia gotong royong tinggi soal dana rame  kita nyumbang karena Pemerintah tak kuat dana.,negatif,-1
161,Pfizer dan moderna jauh lbh efektif,positif,1
162,"Percuma divaksin, penanganannya tidak maksimal",negatif,-1
163,Bohong doang rumah sakitnya....,negatif,-1
164,BST  Yg benar cuma 2 bulan ( januari & februari ).?b,netral,0
165,Bisa ga memenuhi kebutuhan warganya jangan dibebani dr warga,negatif,-1
166,Kita Harus Bersatu Saling Bantu Membantu Program Pemerintah Dalam Memerangi Covid 19...... Bersatu Kita Teguh jika Kita Saling Nyinyir Akan Menambah Panjangnya Wabah Covid 19.,positif,1
167,"Indonesia gk akan siap menurut gw klw sampe lockdown, klw pemerintah siap utk suplai logistik kebutuhan",negatif,-1
168,"Jangan kuatir, karena ketidakmampuannya pada akhirnya indonesia akan terpaksa berdamai dengan covid sama halnya seperti indonesia berdamai dengan Tuberculosis atau TBC, Malaria, Demam berdarah, Flu burung, swineflu, Virus Middle East Respiratory Syndrom, Stunting etc. Wekekek",netral,0
169,"Coba jadi pahlawan untuk diri sendiri jaga kesehatan mu .. Jgn ke tempat yang ramai, keramas dulu cuci tangan sesering mungkin.. ",positif,1
170,"ppkm darurat ini bagus dan tepat sekali, sebab pemerintah akan mencukupi seluruh kebutuhan rakyatnya, jd jangan kawatir kalau ga kerja, pemerintah sdh siapkan biaya hidup rakyat. tinggal rebahan nonton tv dan bayaran.
demikian cerpen balada covid 19.",positif,1
171,"covid tidak ada  omong kosong, semua hanya permainan pemerintah",negatif,-1
172,"percuma pemerintah Buat anggaran 1 Triliun, tapi akhirnya di korupsi juga",negatif,-1
173,Ayo makan tu duit,negatif,-1
174,Ngomong doang lu antek cina,negatif,-1
175,"Tidak satupun saya mendapatkan bantuan dari pemerintah, padahal kami sangat membutuhkannya, bayi saya perempuan berumur 4 bulan, dia menyusu susu formula, 1 kotak isi 1000gram harga 90ribu habis seminggu kadang nggak sampe, dikali 1 bulan dimana kami mencarikan duitnya , malahan orang yang berduit dapat, kami yang sangat membutuhkan tidak. Negara apa ini tidak adil!!! ",negatif,-1
176,Lockdown jakarta,netral,0
177,AKHIRNYA .. SETELAH INI COVID HILANG ..,netral,0
178,Sudah waktunya Corona akan berakhir,netral,0
179,"Utama kan kejujuran,, jgn sampai masalah covid ini berlarut",positif,1
180,"Penyelesaian masalah dari semua ini adalah ,berhenti di lakukan protokol ,berhenti test , berhenti semuanya
Karna sesungguhnya ini infodemik bukan pandemik, semua permainan data statistik , karna belum ada data yg benar2 bisa di percaya",negatif,-1
181,Inilah Indonesia. Negara Serba Salah. Benar disalahin yg salah dibenarkan. WELCOME TO INDO,negatif,-1
182,"kebiasaan indonesia, wna udh msuk baru di stop, lah kmaren knp gk lngsng deportasi lagi ke india,, malah bawa ke hotel ",negatif,-1
183,Indonesia belum???... gmn bisa selesai dr covid bnyk oknum pemerintah yg berbisnis. modal blm kembali lg.,negatif,-1
184,Lockdown kecamatan ajh.,positif,1
185,"solusinya jaga diri, kurangi aktivitas di luar rumah, jaga kebersihan diri seperti cuci tangan pakai sabun antiseptik, serta taat aturan pemerintah demi kebaikan bersama",positif,1
186,Korsel aja yg lebih banyak belum ada lockdown la ini belum begitu banyak udah rame lockdown.  Kasian rakyat kecil yang gajinya habis dimakan hari itu aja.,negatif,-1
187,bukan pemerintah dan kebijakan yg salah tp manusianya susah di atur,positif,1
188,Jawa timur ruwet,negatif,-1
189,"Nasib gue gimana kalo kaga reda "" nih virus  kaga kerja kaga makan gue",negatif,-1
190, Mana menteri pertahanan dan bos2 nya militer kita untuk gebrakin masyarakat yg bandel ini. ,positif,1
191,Yang pkh dapat bst gak pak ðŸ™,netral,0
192,Assalamualaikum maaf pak saya seorang janda miskin dan sakit sakitan belum pernah mendapatkan bantuan apapun sampai sekarang terima kasih,negatif,-1
193,Stop insentif covid n BLT berbagai jenis bantuan yakin pasti turun dengan sendirinya,negatif,-1
194,"Alhamdulillah bantuan dari bentuk apapun gak dpt,,,,,,",negatif,-1
195,Daerah di pikirkan perketat pengawasan agar keadilan benar2 terasa ke rakyat,positif,1
196,"Saya di singapore selalu berdoa semoga saudara 2ku di negara indonesia selalu dlm lindungan alloh swt 
Dn semoga corona cpat selesai dn saya bisa kbli ke negara ku cuti",netral,0
197,Percuma saja masyarakat tdk mendukung. Tapi maklum kita butuh makan.,positif,1
198,Bekerja dari rumah... beribadah dari rumah... .itu namanya lockdown pak......,netral,0
199,"Peningkatan covid itu krn banyaknya masyarakat yg tdk percaya akan adanya covid ini, jadi tergantung masyarakat, apalagi yg tdk sejalan dgn ke kebijakan pemerintah pusat.",positif,1
200,"Stop tu  dana nya ... 
 Yakin gua normal indonesia",netral,0
201,"Tolong di evaluasi yg penerima PKH..., kok kebanyakan orang 2 yg punya sedangkan yg miskin cuma nonton saja...",negatif,-1
202,"ayo kita bunuh virus dengan menyemprotkan desinfektan ke aspal.
tetap terapkan protokol kesehatan dengan gunakan jam malam supaya tidak ada orang yg kluar rumah",positif,1
203,"Kenapa Berita tentang covid di besar kan, coba deh 1 bulan saja hapus berita tentang covid, dan lihat perbedaan nya dibandingkan di publikasikan terus menerus berita tentang ko-pets melulu",negatif,-1
204,Semoga keadaan cepet membaik. Udah gak tahan ekonomi terseok2,positif,1
205,Kalo d lockdown.... makin banyak yang liburan.... wkwkwkwk,netral,0
206,Saya jugak ada anak sekolah  s m a  tapi tidak dapat bantuan apapun,negatif,-1
207,Banyak yg berotak cerdas.. tpi byk yg tdk jujur,negatif,-1
208,PPKM gak ada guna nya,negatif,-1
209,Selama pergerakan orang tdk bisa diredam maka penyebaran pirus akan sulit diatasi dgn cepat maka kuncinya ada pada bantuan yg tepat data yg benar didesa dan kelurahan bukan dri BPS yg hanya sampel,positif,1
210,"Corona yg besar beritanya,,, corona jadi ajang unjuk kekuatan yg punya kekuasaan dan jabatan,,",negatif,-1
211,"Vaksin itu sebetulnya membunuh , ini semua ada sangkut pautnya sama pengurangan populasi manusia agar menjadi 500 juta",negatif,-1
212,KALAU WARGA MAU BARENG2 HANCURKAN PCR DAN ALAT2NYA PASTI GAK ADA CORONA,negatif,-1
213,Kumaha sia ajiggggg  aing bosen ngadenge copit,negatif,-1
214,"Jujur baca anggaran gini nangis bgt, ..",netral,0
215,aku sebagai rakyat senang Aja suruh di rumah tapi konsekuensi dan konsistensi pemerintah harus kasih jaminan hidup buat rakyat buat  biaya hidup selama PPKM terutama sembako,positif,1
216,Pengen ketawa lepas lihat kinerja pemerintah yang super lambat ini,negatif,-1
217,Maaf yang bst 300ribu apa bener itu d. kurangin kenapa sya kemarin gx dpet lg kata nya ada pengurangan,netral,0
218,"STOP PANDEMI
STOP TEST PCR SWAB
STOP PEMBERITAAN COVID19
STOP VAKSIN BERBAHAYA
STOP LOCKDOWN PSBB PPKM
BUKA LAGI SEKOLAH TOKO KANTOR DAN RESTORAN",negatif,-1
